index,winner,Acousticness,Danceability,Duration,Energy,Explicit,Instrumentalness,Liveness,Loudness,Mode,Popularity,Speechiness,Tempo,TimeSignature,Valence
2,0,0.0332,0.754,198973,0.449,1,8.29e-05,0.552,-9.211,1,86,0.109,77.169,4,0.357
4,0,0.327,0.236,279373,0.578,0,0.00015,0.206,-5.477,1,62,0.0404,75.367,4,0.227
7,0,0.198,0.655,229360,0.797,0,0,0.067,-4.787,1,79,0.153,177.928,4,0.839
11,0,0.0742,0.796,219333,0.766,1,0,0.0827,-5.974,1,26,0.238,110.034,4,0.558
12,0,0.103,0.76,231827,0.703,0,0,0.0913,-5.412,1,60,0.054,95.997,4,0.57
13,0,0.842,0.5,193320,0.225,0,0,0.112,-10.22,1,23,0.0302,173.788,3,0.355
16,0,0.0163,0.286,216120,0.784,0,6.48e-05,0.0713,-2.873,1,34,0.0749,173.793,4,0.618
17,0,0.0647,0.647,219200,0.8,0,0,0.334,-5.384,1,59,0.165,160.078,4,0.942
21,0,0.00487,0.554,223546,0.772,0,6.6e-06,0.354,-4.821,0,78,0.0418,179.984,4,0.455
23,0,0.0442,0.564,221947,0.939,0,0,0.112,-4.278,1,46,0.0478,116.025,4,0.613
24,0,0.0106,0.782,193853,0.573,0,2.82e-06,0.107,-6.558,1,55,0.0382,120.005,4,0.658
25,0,0.0543,0.625,193147,0.576,0,4.07e-05,0.187,-5.693,0,34,0.175,179.063,4,0.235
26,0,0.669,0.642,258373,0.289,0,0,0.18,-9.918,1,27,0.0367,84.996,4,0.407
27,0,0.943,0.375,336613,0.304,0,0.303,0.126,-14.52,1,71,0.0302,147.989,4,0.147
28,0,0.146,0.706,223253,0.558,0,0,0.118,-7.237,0,75,0.0593,110.443,4,0.227
29,0,0.0487,0.59,218000,0.51,0,8.79e-05,0.0819,-9.456,1,42,0.0384,141.939,4,0.331
31,0,0.241,0.749,263373,0.925,1,0,0.52,-5.034,1,14,0.227,86.989,4,0.641
35,0,0.16,0.688,231453,0.765,0,1.78e-05,0.103,-4.451,1,34,0.0387,129.967,4,0.431
36,0,0.00552,0.276,230760,0.715,0,0.000417,0.201,-5.356,1,77,0.0432,137.028,4,0.173
38,0,0.118,0.851,237200,0.806,0,1.64e-06,0.121,-4.62,1,76,0.0787,118.999,4,0.787
39,0,0.171,0.727,284733,0.729,1,0,0.07,-2.99,1,27,0.326,117.932,4,0.512
40,0,0.312,0.621,210507,0.473,0,0,0.11,-6.07,0,65,0.0251,80.027,4,0.325
41,0,0.595,0.686,242187,0.457,0,0,0.105,-8.322,1,42,0.0468,150.953,4,0.718
42,0,0.0208,0.583,258827,0.786,0,0,0.188,-3.142,0,77,0.0301,123.052,4,0.573
43,0,0.271,0.519,199947,0.749,0,0,0.119,-3.318,0,74,0.0405,147.905,4,0.29
44,0,0.872,0.657,232533,0.291,0,0,0.114,-10.572,1,81,0.0293,103.973,4,0.298
46,0,0.00923,0.585,275987,0.833,0,0,0.0452,-4.569,1,42,0.113,174.01,4,0.597
50,0,0.633,0.675,209493,0.479,1,1.76e-05,0.088,-9.87,0,69,0.0278,81.998,4,0.454
51,0,0.668,0.588,226693,0.448,0,1.45e-05,0.156,-6.37,1,22,0.0265,135.949,4,0.362
53,0,0.929,0.469,281467,0.132,0,0,0.0873,-14.001,1,71,0.0807,67.011,3,0.36
54,0,0.026,0.841,201387,0.475,0,0,0.0785,-7.945,1,27,0.0644,139.971,4,0.765
55,0,0.603,0.609,228707,0.445,0,6.77e-06,0.104,-9.129,1,80,0.106,118.393,3,0.166
57,0,0.492,0.416,300333,0.546,0,0,0.0845,-7.728,1,68,0.0297,159.929,4,0.418
59,0,0.578,0.457,238560,0.573,0,3.05e-06,0.114,-3.866,0,72,0.0275,76.193,4,0.0992
62,0,0.0572,0.585,244507,0.776,0,7.74e-06,0.3,-5.898,1,79,0.0459,77.987,4,0.427
64,0,0.263,0.573,237373,0.818,0,0,0.161,-4.469,1,12,0.0355,94.933,4,0.309
67,0,0.145,0.623,243160,0.605,0,3.46e-06,0.227,-5.113,1,0,0.0353,89.656,4,0.616
68,0,0.407,0.526,273467,0.665,0,0.000271,0.169,-4.997,1,65,0.0243,158.493,4,0.285
69,0,0.104,0.652,249960,0.621,0,5.3e-06,0.0382,-8.677,0,63,0.263,169.983,4,0.661
71,0,0.0569,0.381,294440,0.451,0,0,0.112,-9.592,0,49,0.0307,151.109,4,0.244
72,0,0.313,0.593,239440,0.642,0,0.000582,0.0804,-7.284,1,73,0.0299,76.403,4,0.736
74,0,0.257,0.689,213307,0.694,0,0,0.148,-5.83,0,79,0.027,99.039,4,0.482
76,0,0.0011,0.648,278000,0.636,0,6.39e-05,0.125,-6.054,1,38,0.0401,88.692,4,0.532
79,0,0.00125,0.315,289533,0.715,0,7.97e-06,0.0942,-8.072,0,79,0.0362,155.925,3,0.497
80,0,0.269,0.517,309067,0.464,0,0,0.0827,-8.021,1,47,0.0275,106.395,4,0.162
82,1,0.013,0.853,206693,0.56,0,0,0.0944,-4.961,1,83,0.0406,134.066,4,0.86
