dateAdmin,FIPS,MMWR_week,Recip_County,Recip_State,Series_Complete_Pop_Pct,Series_Complete_Yes,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Completeness_pct,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,SVI_CTGY,Series_Complete_Pop_Pct_SVI,Series_Complete_12PlusPop_Pct_SVI,Series_Complete_18PlusPop_Pct_SVI,Series_Complete_65PlusPop_Pct_SVI,Metro_status,Series_Complete_Pop_Pct_UR_Equity,Series_Complete_12PlusPop_Pct_UR_Equity,Series_Complete_18PlusPop_Pct_UR_Equity,Series_Complete_65PlusPop_Pct_UR_Equity
10/12/2021,48161,42,Noxubee County,MS,49.6,5164,5164,59.4,4865,61.9,"1,499",86.5,98.3,5736,55.1,5735,66,5362,68.2,1585,91.5,D,15,16,16,16,Non-metro,7,8,8,8
10/13/2021,31139,42,Fergus County,MT,41.6,4598,4598,48.1,4448,50.7,"2,116",76,95.7,5035,45.6,5035,52.7,4865,55.4,2253,80.9,A,3,3,4,4,Non-metro,7,7,8,8
10/14/2021,18131,42,Whitman County,WA,41.1,20569,20569,45.6,19503,45.8,"4,321",80.4,96.1,23717,47.3,23716,52.6,22442,52.7,4782,89,C,11,11,11,12,Non-metro,7,7,7,8
10/15/2021,72059,42,Sublette County,WY,28.8,2827,2827,33.5,2727,35.6,"1,056",52.4,96.4,3570,36.3,3570,42.4,3413,44.5,1216,60.3,A,1,2,2,3,Non-metro,5,6,6,7
10/16/2021,24015,42,Wheeler County,OR,51.7,688,684,56.2,663,57.8,349,72.1,97.8,729,54.7,725,59.6,700,61,362,74.8,B,8,8,8,8,Non-metro,8,8,8,8
10/17/2021,18023,42,Unknown County,MO,0,266687,266665,0,259712,0,"65,529",0,91.2,320828,0,320691,0,311481,0,77339,0,UN,0,0,0,,UN,0,0,0,0
10/18/2021,55091,42,Freestone County,TX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D,0,0,0,,Non-metro,0,0,0,0
10/19/2021,48401,42,Pierce County,NE,34.4,2457,2457,41.1,2376,44.4,901,64.2,0,0,0,0,0,0,0,0,0,A,2,3,3,3,Non-metro,6,7,7,7
10/20/2021,13173,42,Pulaski County,IN,41.2,5084,5084,47.7,4855,50.5,"2,004",80.8,98.7,5450,44.1,5450,51.1,5179,53.9,2060,83,A,3,3,4,4,Non-metro,7,7,8,8
10/21/2021,54047,42,Guayanilla Municipio,PR,72.3,12742,12740,81.1,11586,80.1,"3,206",99.9,95.8,14055,79.8,14051,89.4,12788,88.4,3527,99.9,D,16,16,16,16,Metro,4,4,4,4
10/22/2021,25017,42,Cecil County,MD,51.6,53030,53027,60.2,49962,62.6,"14,342",86,98.7,59555,57.9,59531,67.6,55955,70.2,15589,93.5,B,8,8,8,8,Metro,4,4,4,4
10/23/2021,26037,42,Clinton County,IN,42.9,13910,13910,51.7,13177,55,"4,530",83.3,98.7,15072,46.5,15069,56,14195,59.3,4667,85.8,C,11,12,12,12,Non-metro,7,8,8,8
10/24/2021,48179,42,Pepin County,WI,45.1,3290,3290,52.4,3093,53.6,"1,323",77.2,97,3466,47.6,3466,55.2,3249,56.3,1361,79.4,A,3,4,4,4,Non-metro,7,8,8,8
10/25/2021,41061,42,Rusk County,TX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D,0,0,0,0,Metro,0,0,0,0
10/26/2021,13225,42,Lanier County,GA,11.4,1184,1184,13.6,1075,13.6,271,18.4,57.6,1353,13,1353,15.5,1212,15.3,275,18.7,D,13,13,13,13,Metro,1,1,1,1
10/27/2021,6079,42,McDowell County,WV,23,4053,4051,26.6,3920,27.9,"1,220",30.3,59.9,5420,30.8,5416,35.6,5208,37.1,1587,39.4,D,13,13,13,14,Non-metro,5,5,5,6
10/28/2021,13075,42,Middlesex County,MA,70,1127656,1123922,80,1038404,80.1,"219,045",86.8,89.6,1253416,77.8,1248149,88.8,1150363,88.8,246543,97.7,A,4,4,4,4,Metro,4,4,4,4
10/29/2021,29029,42,Clinton County,MI,52.1,41469,41467,60.6,38638,62.3,"11,402",82.1,97.9,43539,54.7,43536,63.6,40690,65.6,11760,84.6,A,4,4,4,4,Metro,4,4,4,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
