fips,dateadmin,mmwr_week,recip_county,recip_state,series_complete_pop_pct,series_complete_yes,series_complete_12plus,series_complete_12pluspop_pct,series_complete_18plus,series_complete_18pluspop_pct,series_complete_65plus,series_complete_65pluspop_pct,completeness_pct,administered_dose1_recip,administered_dose1_pop_pct,administered_dose1_recip_12plus,administered_dose1_recip_12pluspop_pct,administered_dose1_recip_18plus,administered_dose1_recip_18pluspop_pct,administered_dose1_recip_65plus,administered_dose1_recip_65pluspop_pct,svi_ctgy,series_complete_pop_pct_svi,series_complete_12pluspop_pct_svi,series_complete_18pluspop_pct_svi,series_complete_65pluspop_pct_svi,metro_status,series_complete_pop_pct_ur_equity,series_complete_12pluspop_pct_ur_equity,series_complete_18pluspop_pct_ur_equity,series_complete_65pluspop_pct_ur_equity,county,states,percentage16_donald_trump,percentage16_hillary_clinton,total_votes16,votes16_donald_trump,votes16_hillary_clinton,percentage20_donald_trump,percentage20_joe_biden,total_votes20,votes20_donald_trump,votes20_joe_biden,lat,long,cases,deaths,totalpop,men,women,hispanic,white,black,native,asian,pacific,votingagecitizen,income,incomeerr,incomepercap,incomepercaperr,poverty,childpoverty,professional,service,office,construction,production
25019,2021-10-21,42,Nantucket County,MA,1.3,148,148,1.5,144,1.6,49,2.9,89.6,235,2.1,235,2.4,225,2.5,75,4.4,A,1,1,1,1,Non-metro,5,5,5,5,Nantucket,MA,0.295,0.647,6404,1892,4144,0.262,0.717,7297,1912,5234,41.2942019,-70.08774729,0,0,10912,5804,5108,8.6,73.8,8,0.6,2.4,0.1,7695,91942,11350,47924,3627,11.2,22.4,32.3,15.8,26.5,18.5,7
25007,2021-10-21,42,Dukes County,MA,3.6,627,627,4.1,611,4.3,165,3.8,89.6,767,4.4,767,5,741,5.2,215,4.9,A,1,1,1,1,Non-metro,5,5,5,5,Dukes,MA,0.216,0.729,11434,2474,8338,,,,,,41.40674725,-70.68763497,0,0,17275,8282,8993,1.6,87,3.7,1.6,0.3,0,13333,67535,8612,42956,4099,8.4,13.4,45.2,16.3,17,11.1,10.4
54017,2021-10-21,42,Doddridge County,WV,4.3,361,361,4.7,338,4.7,117,6.3,59.9,612,7.2,612,8,577,8,169,9.2,B,5,5,5,5,Non-metro,5,5,5,5,Doddridge,WV,0.831,0.127,2826,2347,360,0.845,0.14,3101,2619,435,39.27057157,-80.70671527,72,1,8570,4641,3929,0.4,95.7,1.4,0.1,0.3,0,7049,44437,6711,21164,1950,14.9,13.6,25.4,18.5,23.9,21.5,10.7
54091,2021-10-21,42,Taylor County,WV,4.4,740,740,5.1,685,5.1,221,6.3,59.9,1141,6.8,1141,7.8,1056,7.9,280,8,B,5,5,5,5,Non-metro,5,5,5,5,Taylor,WV,0.723,0.228,6498,4701,1483,0.742,0.244,7334,5439,1787,39.33602617,-80.0421439,172,8,16977,8645,8332,0.4,96.1,1.3,0,1.2,0,13451,45916,4362,23683,1281,15.7,20.1,33.4,17.3,21.6,11.6,16.1
25001,2021-10-21,42,Barnstable County,MA,5.2,11003,11001,5.7,10920,6,4184,6.3,89.6,14138,6.6,14134,7.3,14003,7.7,5403,8.1,A,1,1,1,1,Metro,1,1,1,1,Barnstable,MA,0.406,0.54,132667,53842,71632,0.4,0.58,27051,10824,15685,41.72980578,-70.28854339,2051,185,213900,102152,111748,2.7,90.2,2.7,0.4,1.5,0.1,173782,68048,1279,40886,793,7.5,11.7,37.9,21.2,23.4,10.6,7
54087,2021-10-21,42,Roane County,WV,5.2,716,716,6,637,5.8,219,7,59.9,1178,8.6,1178,9.8,1057,9.7,293,9.4,C,9,9,9,9,Non-metro,5,5,5,5,Roane,WV,0.721,0.233,5234,3772,1220,0.731,0.252,5763,4213,1455,38.71622686,-81.35243568,116,2,14348,7100,7248,1,97,0,0.2,0.1,0,11225,37931,3412,20723,1445,19.3,23.5,31.5,17.3,20.6,16.1,14.5
54065,2021-10-21,42,Morgan County,WV,5.5,988,988,6.2,960,6.5,315,7.4,59.9,1593,8.9,1593,10,1540,10.5,461,10.8,A,1,1,1,1,Non-metro,5,5,5,5,Morgan,WV,0.749,0.205,7635,5718,1568,0.752,0.23,8695,6537,1998,39.55439028,-78.26311676,157,0,17510,8623,8887,1.4,95.7,0.7,0.2,0.4,0,14091,46346,2818,24026,1448,11.1,10.9,28.5,19,19.9,16.4,16.1
54105,2021-10-21,42,Wirt County,WV,6.2,361,361,7.2,303,6.6,77,6.3,59.9,542,9.3,542,10.8,471,10.3,103,8.5,B,5,5,5,5,Metro,1,1,1,1,Wirt,WV,0.79,0.159,2410,1903,383,0.804,0.176,2653,2134,466,39.02775007,-81.37473928,56,0,5800,2944,2856,0.9,97.2,0.9,0.3,0,0,4503,38936,3207,19747,2225,21.2,38.9,26.7,18.8,20.8,17.6,16.1
54001,2021-10-21,42,Barbour County,WV,6.7,1104,1104,7.7,936,7.1,294,8.6,59.9,1806,11,1806,12.6,1576,11.9,454,13.4,C,9,9,9,9,Non-metro,5,5,5,5,Barbour,WV,0.749,0.201,6024,4509,1213,0.766,0.218,6677,5116,1457,39.1307219,-80.00350858,187,1,16790,8165,8625,0.9,95.7,0.9,0.4,0.7,0,13382,37516,2726,20762,1663,22.5,32.5,26.3,21.7,23.7,15.9,12.5
13183,2021-10-21,42,Long County,GA,7.2,1404,1404,8.8,1229,8.6,211,10.6,57.6,1673,8.6,1673,10.5,1443,10.1,219,11,D,13,13,13,13,Metro,1,1,1,1,Long,GA,0.638,0.33,4109,2623,1356,0.624,0.359,5656,3528,2033,31.75218791,-81.74952375,279,4,17857,8746,9111,11.4,58.5,23.9,0.2,0.9,0.2,11891,53083,4971,20321,1649,20,27.6,29,18.6,21.3,13.1,18.1
54097,2021-10-21,42,Upshur County,WV,8.4,2028,2028,9.7,1811,9.4,714,14.1,59.9,3108,12.9,3108,14.8,2803,14.5,917,18.1,C,9,9,9,9,Non-metro,5,5,5,5,Upshur,WV,0.759,0.192,9180,6971,1763,0.76,0.221,10221,7771,2256,38.89285061,-80.23689136,277,4,24604,12252,12352,1.2,96.3,1.3,0.2,0.2,0.1,19453,39434,3117,21279,1168,21.2,29.9,32.5,19.2,20.8,12.6,14.9
54049,2021-10-21,42,Marion County,WV,8.9,5009,5008,10.3,4559,10.2,1702,15.4,59.9,8138,14.5,8130,16.7,7421,16.5,2368,21.4,B,5,5,5,5,Non-metro,5,5,5,5,Marion,WV,0.637,0.302,22910,14592,6926,0.632,0.345,25794,16300,8901,39.50984542,-80.24244659,419,5,56575,27818,28757,1.2,92.9,3.6,0.1,0.7,0,44838,48158,1899,25205,684,16.1,21.9,34,19.1,22,12.8,12.1
38087,2021-10-21,42,Slope County,ND,10,75,75,11.6,73,12.2,41,23,95.1,92,12.3,92,14.2,90,15.1,51,28.7,A,1,1,1,1,Non-metro,5,5,5,5,Slope,ND,0.845,0.098,427,361,42,0.89,0.103,427,380,44,46.44737738,-103.4601547,15,0,674,350,324,0.6,92.4,5.9,0,0,0,528,61250,13510,35118,5750,6.8,2.8,52.8,5.5,19.2,14.3,8.1
13309,2021-10-21,42,Wheeler County,GA,10.4,817,817,11.7,746,11.4,160,13.8,57.6,971,12.4,971,13.9,869,13.3,176,15.2,D,13,13,13,13,Non-metro,5,5,5,5,Wheeler,GA,0.676,0.307,2102,1421,646,0.693,0.302,2285,1583,689,32.12009104,-82.72574721,370,17,7952,5132,2820,1.6,56.1,41.7,0.3,0,0,6529,28490,3962,11192,1459,29.3,43.3,14.3,20.5,17.6,19.5,28.1
13187,2021-10-21,42,Lumpkin County,GA,10.5,3517,3517,11.8,3242,11.7,740,12.4,57.6,,0,,0,,0,,0,B,5,5,5,5,Non-metro,5,5,5,5,Lumpkin,GA,0.78,0.18,12324,9613,2216,0.783,0.201,15531,12163,3126,34.57286511,-84.00425681,1064,15,31567,15502,16065,4.7,90.8,2.1,0.7,0.4,0,25045,43039,2966,23364,2071,20.1,18.8,28.8,20.8,24.1,11,15.3
54103,2021-10-21,42,Wetzel County,WV,10.6,1602,1602,12.2,1520,12.6,636,18.2,59.9,2150,14.3,2150,16.3,2037,16.8,741,21.2,B,5,5,5,5,Non-metro,5,5,5,5,Wetzel,WV,0.721,0.218,6191,4461,1348,0.749,0.231,6667,4993,1539,39.6065771,-80.6401654,229,7,15793,7700,8093,0.5,97.5,0.6,0,0.2,0,12503,40694,2867,22088,1347,23.2,41,21,21.7,19.2,17.5,20.6
54051,2021-10-21,42,Marshall County,WV,10.7,3268,3266,12.2,3101,12.6,1148,16.4,59.9,4136,13.5,4133,15.4,3920,15.9,1375,19.6,A,1,1,1,1,Metro,1,1,1,1,Marshall,WV,0.731,0.221,13083,9565,2894,0.742,0.245,13666,10137,3348,39.86064362,-80.66591062,420,4,32006,15780,16226,1,96.8,1,0.4,0.2,0.1,25471,42473,3682,24043,1395,15.2,23,28.2,21.3,21.7,14.3,14.4
13091,2021-10-21,42,Dodge County,GA,10.9,2254,2254,12.5,1988,11.9,305,7.9,57.6,2716,13.2,2716,15.1,2369,14.2,331,8.6,D,13,13,13,13,Non-metro,5,5,5,5,Dodge,GA,0.718,0.262,6995,5021,1836,0.724,0.269,8070,5843,2171,32.17265114,-83.16948926,642,19,21063,11024,10039,3.4,65.3,27.8,0,0.6,0,16512,35290,2856,18563,1265,22.2,30.6,33.6,15.7,22.4,10.9,17.4
13023,2021-10-21,42,Bleckley County,GA,11.2,1442,1442,12.9,1284,12.5,220,10,57.6,1708,13.3,1708,15.2,1507,14.6,222,10.1,C,9,9,9,9,Non-metro,5,5,5,5,Bleckley,GA,0.753,0.222,4934,3717,1094,0.758,0.23,5706,4328,1311,32.43829035,-83.33035166,515,27,12779,5909,6870,2.7,68.8,27.7,0.1,0.2,0,9903,40688,3305,20667,3761,23,32,30.1,20.3,22.9,12.9,13.8
13161,2021-10-21,42,Jeff Davis County,GA,11.3,1704,1704,13.6,1583,14.2,324,13.3,57.6,1961,13,1961,15.6,1794,16.1,330,13.5,D,13,13,13,13,Non-metro,5,5,5,5,Jeff Davis,GA,0.806,0.177,5089,4102,901,0.814,0.178,5771,4695,1028,31.80405727,-82.6372487,811,23,14999,7403,7596,11.4,71.6,16.6,0,0,0,10510,37267,3563,18550,1520,20.6,28.2,26.4,15,23.6,17.3,17.6
13311,2021-10-21,42,White County,GA,11.3,3471,3471,12.8,3244,13.1,895,12.4,57.6,3708,12,3707,13.7,3437,13.9,930,12.9,A,1,1,1,1,Non-metro,5,5,5,5,White,GA,0.828,0.142,11771,9751,1672,0.825,0.163,14816,12222,2411,34.64624278,-83.74905525,1022,24,28509,13814,14695,3.1,92.5,2.1,0.1,0.5,0,22242,43944,3094,23630,1617,17.7,29.7,30.5,19.1,25.9,9.9,14.7
13173,2021-10-21,42,Lanier County,GA,11.4,1184,1184,13.6,1075,13.6,271,18.4,57.6,1353,13,1353,15.5,1212,15.3,275,18.7,D,13,13,13,13,Metro,1,1,1,1,Lanier,GA,0.693,0.281,2861,1984,805,0.702,0.285,3576,2509,1019,31.0382857,-83.06472457,320,7,10388,5208,5180,5.5,68.7,24.1,0,0.3,0,7647,31109,5468,17739,1784,28.7,32.6,29.2,16.3,31.6,11.2,11.7
13239,2021-10-21,42,Quitman County,GA,11.5,265,265,13.1,253,13.5,126,17.9,57.6,335,14.6,335,16.6,319,17.1,144,20.4,D,13,13,13,13,Non-metro,5,5,5,5,Quitman,GA,0.551,0.442,1044,575,461,0.546,0.449,1106,604,497,31.86728114,-85.01773177,41,1,2140,1024,1116,0.6,41.9,50.7,0,5,0.2,1707,26750,7840,18921,2673,22.8,46.1,13.7,18.7,28.9,3.3,35.4
13049,2021-10-21,42,Charlton County,GA,12,1602,1602,13.7,1505,13.8,493,23.3,57.6,1822,13.6,1821,15.5,1692,15.5,532,25.2,D,13,13,13,13,Non-metro,5,5,5,5,Charlton,GA,0.736,0.25,4008,2950,1004,0.749,0.242,4566,3419,1103,30.78371028,-82.13951596,649,10,12963,7393,5570,8.4,62,25.3,1.5,0.8,0,9378,43257,6511,19102,1451,23.1,34.7,25,20.3,16.9,17.5,20.3
13207,2021-10-21,42,Monroe County,GA,12,3300,3300,13.7,2996,13.6,803,15.2,57.6,3694,13.4,,0,,0,,0,B,5,5,5,5,Metro,1,1,1,1,Monroe,GA,0.696,0.282,12675,8821,3570,0.709,0.281,15592,11060,4384,33.014289,-83.92097166,774,55,26795,13475,13320,2.4,72.1,23.6,0.1,0.8,0,20853,50666,4524,30359,5406,13.3,10.9,36.8,15.8,24.1,10.2,13
13281,2021-10-21,42,Towns County,GA,12,1447,1447,13.1,1376,13.1,522,12.4,57.6,1596,13.3,1596,14.5,1521,14.5,600,14.3,B,5,5,5,5,Non-metro,5,5,5,5,Towns,GA,0.799,0.179,6726,5377,1206,0.8,0.194,7979,6384,1550,34.91369188,-83.7410746,455,13,11173,5272,5901,1.5,95,1,0.3,0.2,0,9532,41182,2699,22301,1424,14.7,22.6,30.3,24.8,26.5,9.2,9.2
54007,2021-10-21,42,Braxton County,WV,12.2,1706,1706,14,1602,14.2,740,22.4,59.9,2254,16.1,2254,18.5,2093,18.6,869,26.3,C,9,9,9,9,Non-metro,5,5,5,5,Braxton,WV,0.694,0.26,5063,3516,1315,0.727,0.257,5664,4120,1457,38.70036159,-80.72011184,73,0,14345,7172,7173,1,97.1,0.3,0.1,0,0.2,11430,41266,3577,20633,1176,22.1,33.6,28.5,18.1,26.2,13.1,14.1
13025,2021-10-21,42,Brantley County,GA,12.3,2355,2355,14.5,2236,15.2,713,21.7,57.6,2882,15.1,2882,17.7,2728,18.6,833,25.4,C,9,9,9,9,Metro,1,1,1,1,Brantley,GA,0.885,0.098,6285,5561,619,0.903,0.09,7746,6991,699,31.19576557,-81.97743999,473,13,18411,9070,9341,2.1,92.6,3.1,0.1,0.7,0.1,13772,36812,3685,18220,1692,21.8,28,24.4,18,20.8,20.7,16.1
54013,2021-10-21,42,Calhoun County,WV,12.5,888,888,14.1,850,14.6,379,20.8,59.9,1192,16.8,1192,18.9,1147,19.7,487,26.7,C,9,9,9,9,Non-metro,5,5,5,5,Calhoun,WV,0.777,0.175,2604,2023,456,0.796,0.191,2971,2364,568,38.84315422,-81.11934872,36,0,7450,3689,3761,1.3,97.3,0,0.1,0,0,5962,36279,5907,19696,1919,17.1,22.5,31.6,12.8,20.9,21.2,13.6
54069,2021-10-21,42,Ohio County,WV,12.5,5196,5195,14.3,4742,14.2,1411,15.3,59.9,7312,17.7,7310,20.2,6670,19.9,1836,19.9,B,5,5,5,5,Metro,1,1,1,1,Ohio,WV,0.622,0.306,17819,11077,5452,0.621,0.363,19674,12226,7139,40.0955451,-80.62203992,638,9,42906,20667,22239,1,92.3,4,0.2,0.7,0,34436,45777,2213,29769,1262,13.7,18.5,34.9,22.5,22.8,8.6,11.3
46089,2021-10-21,42,McPherson County,SD,12.5,297,297,15,284,15.9,102,15.1,96.2,356,15,356,18,341,19.1,125,18.5,B,5,5,5,5,Non-metro,5,5,5,5,McPherson,SD,0.785,0.169,1137,892,192,0.812,0.168,1324,1075,222,45.76626028,-99.22118798,72,0,2366,1180,1186,2.2,89.8,0.1,6.6,0.6,0,1905,41674,5079,25975,3678,17,9,35.7,18.7,19.8,15.3,10.6
13005,2021-10-21,42,Bacon County,GA,12.6,1409,1409,15.1,1346,16.2,269,14.3,57.6,1557,13.9,,0,,0,,0,D,13,13,13,13,Non-metro,5,5,5,5,Bacon,GA,0.837,0.151,4010,3356,607,0.861,0.134,4668,4018,625,31.55456473,-82.45936528,640,16,11279,5599,5680,8.5,73.6,14.6,0,0.9,0.2,7903,38824,3793,18856,1372,23.2,34.4,30.7,12,22.4,18.6,16.2
31117,2021-10-21,42,McPherson County,NE,12.6,62,62,13.7,62,15.3,36,30.3,89.7,,0,,0,,0,,0,A,1,1,1,2,Non-metro,5,5,5,6,McPherson,NE,0.899,0.049,286,257,14,0.911,0.056,302,275,17,41.56797682,-101.0599362,10,0,432,221,211,0.9,96.8,0,0,0,0,335,60714,10396,27241,4094,16,21.6,33.3,12,26.7,9.8,18.2
13085,2021-10-21,42,Dawson County,GA,12.8,3332,3332,14.6,3101,14.9,717,13.6,57.6,3629,13.9,3629,15.9,3368,16.2,903,17.1,A,1,1,1,1,Metro,1,1,1,1,Dawson,GA,0.846,0.124,11680,9880,1444,0.833,0.155,16081,13398,2486,34.44244079,-84.16964071,927,11,23397,11529,11868,4.2,92.8,1.2,0.1,0.3,0,18150,62284,5862,31954,2779,11.8,15.7,37.1,12.6,25,12.3,12.9
13289,2021-10-21,42,Twiggs County,GA,12.8,1037,1037,14.6,903,13.8,211,11.1,57.6,1277,15.7,1277,18,1109,16.9,265,14,D,13,13,13,13,Metro,1,1,1,1,Twiggs,GA,0.502,0.486,4053,2034,1970,0.533,0.46,4444,2370,2044,32.67435595,-83.43078662,224,10,8323,4101,4222,0.4,54.9,42.6,0,0.1,0,6658,30629,3667,17485,1842,27.3,28.8,20.5,19.1,21.8,18.6,20
13237,2021-10-21,42,Putnam County,GA,13,2869,2869,14.8,2582,14.5,710,12.9,57.6,3285,14.9,3285,17,2928,16.5,849,15.4,B,5,5,5,5,Non-metro,5,5,5,5,Putnam,GA,0.691,0.291,9431,6516,2745,0.699,0.291,11855,8291,3448,33.32056115,-83.37552891,821,27,21430,10410,11020,6.6,65.4,26.1,0,0.5,0,16386,48340,3802,27498,2341,16.2,23.1,25.6,23,21.9,10.2,19.4
05091,2021-10-21,42,Miller County,AR,13.1,5648,5647,15.5,5448,16.4,2000,26.9,90.2,7198,16.6,7193,19.7,6843,20.6,2308,31,D,13,13,13,13,Metro,1,1,1,1,Miller,AR,0.702,0.266,16090,11293,4273,0.721,0.257,16506,11907,4235,33.31403423,-93.89285258,1613,21,43760,21581,22179,3.1,69.4,24.4,0.7,0.5,0.1,32903,41862,1885,22227,1044,21,31.7,30.3,18.2,24,9,18.4
13149,2021-10-21,42,Heard County,GA,13.3,1580,1580,15.5,1495,16.1,385,17.7,57.6,1646,13.8,,0,,0,,0,C,9,9,9,9,Metro,1,1,1,1,Heard,GA,0.801,0.177,4206,3370,743,0.837,0.153,5397,4516,824,33.29686567,-85.12886832,241,6,11607,5762,5845,0.7,85,10,0,0.5,0.1,8875,44897,3468,20946,1425,17.4,23.6,23.6,17.8,17.7,17.9,23
13141,2021-10-21,42,Hancock County,GA,13.3,1123,1123,14.6,981,13.7,243,12.1,57.6,1301,15.4,1301,17,1123,15.7,274,13.6,D,13,13,13,13,Non-metro,5,5,5,5,Hancock,GA,0.235,0.754,3572,841,2695,0.278,0.717,4165,1159,2985,33.2721566,-82.99766919,419,44,8667,5258,3409,1.8,24.1,72.9,0,0.5,0.1,7276,29268,2293,15454,3288,30,54.8,25.8,33,19.6,6.3,15.3
13123,2021-10-21,42,Gilmer County,GA,13.3,4164,4164,15.1,3908,15.4,1243,15.5,57.6,4426,14.1,4426,16.1,4097,16.1,1249,15.6,C,9,9,9,9,Non-metro,5,5,5,5,Gilmer,GA,0.823,0.154,12713,10465,1955,0.813,0.177,16525,13429,2932,34.69316688,-84.45802506,1065,23,29614,14950,14664,11.5,85.5,0.6,0.1,0.5,0,22105,46211,3104,23688,1469,18.8,35.4,26.1,22.5,21.3,14.6,15.5
13291,2021-10-21,42,Union County,GA,13.4,3277,3277,14.8,3135,15.1,1155,14,57.6,3595,14.7,3594,16.2,3406,16.4,1283,15.5,B,5,5,5,5,Non-metro,5,5,5,5,Union,GA,0.818,0.163,12039,9849,1962,0.811,0.18,15592,12651,2801,34.82995757,-83.98967069,912,26,22262,10855,11407,3.1,94.2,0.8,0.4,0.7,0,18352,42767,6036,26755,2811,12.8,25.2,31.5,18.4,23.2,17.4,9.6
54023,2021-10-21,42,Grant County,WV,13.5,1564,1563,15.5,1531,16.4,674,23.2,59.9,1903,16.5,1902,18.9,1852,19.9,767,26.4,B,5,5,5,5,Non-metro,5,5,5,5,Grant,WV,0.877,0.103,4945,4338,510,0.884,0.11,5509,4871,607,39.10314817,-79.19440518,199,8,11673,5844,5829,1,96.8,1.6,0,0,0,9417,40093,3382,21705,1654,12.7,12.1,25.5,18,17.4,14.6,24.5
