Liveness,Loudness,Popularity,Speechiness,Tempo,TimeSignature,Valence
0.552,-9.211,86,0.109,77.169,4,0.357
0.206,-5.477,62,0.0404,75.367,4,0.227
0.067,-4.787,79,0.153,177.928,4,0.839
0.0827,-5.974,26,0.238,110.034,4,0.558
0.0913,-5.412,60,0.054,95.997,4,0.57
0.112,-10.22,23,0.0302,173.788,3,0.355
0.0713,-2.873,34,0.0749,173.793,4,0.618
0.334,-5.384,59,0.165,160.078,4,0.942
0.354,-4.821,78,0.0418,179.984,4,0.455
0.112,-4.278,46,0.0478,116.025,4,0.613
0.107,-6.558,55,0.0382,120.005,4,0.658
0.187,-5.693,34,0.175,179.063,4,0.235
0.18,-9.918,27,0.0367,84.996,4,0.407
0.126,-14.52,71,0.0302,147.989,4,0.147
0.118,-7.237,75,0.0593,110.443,4,0.227
0.0819,-9.456,42,0.0384,141.939,4,0.331
0.52,-5.034,14,0.227,86.989,4,0.641
0.103,-4.451,34,0.0387,129.967,4,0.431
0.201,-5.356,77,0.0432,137.028,4,0.173
0.121,-4.62,76,0.0787,118.999,4,0.787
0.07,-2.99,27,0.326,117.932,4,0.512
0.11,-6.07,65,0.0251,80.027,4,0.325
0.105,-8.322,42,0.0468,150.953,4,0.718
0.188,-3.142,77,0.0301,123.052,4,0.573
0.119,-3.318,74,0.0405,147.905,4,0.29
0.114,-10.572,81,0.0293,103.973,4,0.298
0.0452,-4.569,42,0.113,174.01,4,0.597
0.088,-9.87,69,0.0278,81.998,4,0.454
0.156,-6.37,22,0.0265,135.949,4,0.362
0.0873,-14.001,71,0.0807,67.011,3,0.36
0.0785,-7.945,27,0.0644,139.971,4,0.765
0.104,-9.129,80,0.106,118.393,3,0.166
0.0845,-7.728,68,0.0297,159.929,4,0.418
0.114,-3.866,72,0.0275,76.193,4,0.0992
0.3,-5.898,79,0.0459,77.987,4,0.427
0.161,-4.469,12,0.0355,94.933,4,0.309
0.227,-5.113,0,0.0353,89.656,4,0.616
0.169,-4.997,65,0.0243,158.493,4,0.285
0.0382,-8.677,63,0.263,169.983,4,0.661
0.112,-9.592,49,0.0307,151.109,4,0.244
0.0804,-7.284,73,0.0299,76.403,4,0.736
0.148,-5.83,79,0.027,99.039,4,0.482
0.125,-6.054,38,0.0401,88.692,4,0.532
0.0942,-8.072,79,0.0362,155.925,3,0.497
0.0827,-8.021,47,0.0275,106.395,4,0.162
0.0944,-4.961,83,0.0406,134.066,4,0.86
0.0872,-6.095,73,0.0347,157.966,4,0.289
0.0407,-4.328,0,0.0567,110.007,4,0.869
0.2,-5.535,35,0.0303,107.943,4,0.231
0.34,-13.609,52,0.0552,71.815,4,0.777
0.111,-5.43,36,0.0243,95.985,4,0.382
0.098,-7.816,71,0.0274,124.895,3,0.503
0.0591,-11.763,59,0.028,88.466,4,0.631
0.2,-6.492,73,0.0589,136.258,4,0.389
0.128,-7.224,0,0.0303,115.941,4,0.964
