winner,Acousticness,Danceability,Duration,Energy,Explicit,Instrumentalness
0,0.0332,0.754,198973,0.449,1,8.29E-05
0,0.327,0.236,279373,0.578,0,0.00015
0,0.198,0.655,229360,0.797,0,0
0,0.0742,0.796,219333,0.766,1,0
0,0.103,0.76,231827,0.703,0,0
0,0.842,0.5,193320,0.225,0,0
0,0.0163,0.286,216120,0.784,0,6.48E-05
0,0.0647,0.647,219200,0.8,0,0
0,0.00487,0.554,223546,0.772,0,6.60E-06
0,0.0442,0.564,221947,0.939,0,0
0,0.0106,0.782,193853,0.573,0,2.82E-06
0,0.0543,0.625,193147,0.576,0,4.07E-05
0,0.669,0.642,258373,0.289,0,0
0,0.943,0.375,336613,0.304,0,0.303
0,0.146,0.706,223253,0.558,0,0
0,0.0487,0.59,218000,0.51,0,8.79E-05
0,0.241,0.749,263373,0.925,1,0
0,0.16,0.688,231453,0.765,0,1.78E-05
0,0.00552,0.276,230760,0.715,0,0.000417
0,0.118,0.851,237200,0.806,0,1.64E-06
0,0.171,0.727,284733,0.729,1,0
0,0.312,0.621,210507,0.473,0,0
0,0.595,0.686,242187,0.457,0,0
0,0.0208,0.583,258827,0.786,0,0
0,0.271,0.519,199947,0.749,0,0
0,0.872,0.657,232533,0.291,0,0
0,0.00923,0.585,275987,0.833,0,0
0,0.633,0.675,209493,0.479,1,1.76E-05
0,0.668,0.588,226693,0.448,0,1.45E-05
0,0.929,0.469,281467,0.132,0,0
0,0.026,0.841,201387,0.475,0,0
0,0.603,0.609,228707,0.445,0,6.77E-06
0,0.492,0.416,300333,0.546,0,0
0,0.578,0.457,238560,0.573,0,3.05E-06
0,0.0572,0.585,244507,0.776,0,7.74E-06
0,0.263,0.573,237373,0.818,0,0
0,0.145,0.623,243160,0.605,0,3.46E-06
0,0.407,0.526,273467,0.665,0,0.000271
0,0.104,0.652,249960,0.621,0,5.30E-06
0,0.0569,0.381,294440,0.451,0,0
0,0.313,0.593,239440,0.642,0,0.000582
0,0.257,0.689,213307,0.694,0,0
0,0.0011,0.648,278000,0.636,0,6.39E-05
0,0.00125,0.315,289533,0.715,0,7.97E-06
0,0.269,0.517,309067,0.464,0,0
1,0.013,0.853,206693,0.56,0,0
1,0.336,0.481,295493,0.451,0,0
1,0.00428,0.764,198653,0.736,0,9.31E-05
1,0.0927,0.587,277573,0.622,0,0.000636
1,0.0541,0.407,214947,0.558,0,1.51E-06
1,0.00243,0.527,308893,0.595,0,0.339
1,0.837,0.674,237907,0.413,0,1.91E-05
1,0.877,0.739,186160,0.199,0,1.23E-05
1,0.0154,0.536,248400,0.928,0,0.00134
1,0.159,0.615,295133,0.86,0,4.07E-05
